image_name,labels,transcriptions
1231.jpg,Misogyny,脱单了吧！我儿子刚生了第二个！什么时候你也生一个！
635.jpg,Not-Misogyny,我又不是不倒翁 为什么 我不能被挫折击倒
130.jpg,Not-Misogyny,当你的教授讲课特别有热情而且你能听懂并享受所有内容
324.jpg,Not-Misogyny,不把希望寄托在别人身上 能永远对自己好的人是自己
862.jpg,Misogyny,不生孩子你以后会后悔的 You will regret not having children in the future 我后悔了可以领养 你后悔了可以塞回去吗 I regret it. I can adopt it Can you put it back if you regret it
644.jpg,Not-Misogyny,那就这么说好吃 击掌
711.jpg,Not-Misogyny,嘻嘻 你真让人膈应
842.jpg,Misogyny,妈妈说 要想拿下男孩子的心 首先拿住他的胃
786.jpg,Not-Misogyny,早上：不吃 中午：不吃 晚上： 货拉拉车队正在为您送餐
835.jpg,Misogyny,你们总让我再生生生 我是心有余而银两不足啊
793.jpg,Misogyny,曹尼玛，告辞 CNM，SB
159.jpg,Not-Misogyny,在写了，在写了
1583.jpg,Not-Misogyny,怎么可能全部忍得住啊 又不是忍者来的 小委屈 我能忍
517.jpg,Not-Misogyny,NEWS 如果领导掉水里了 你该怎么做？ TV 咪咪 NEWS 先走OA审批 不批不敢捞
1215.jpg,Not-Misogyny,太好了是女人 我们有救了
598.jpg,Misogyny,话不投机，聊你妈逼 我日你妈卖批，告辞
196.jpg,Not-Misogyny,绝不精神内耗 老娘配享太庙
1507.jpg,Misogyny,兄弟如手足，妻子如衣服
1552.jpg,Not-Misogyny,硬撑
411.jpg,Not-Misogyny,爷的脆弱 仅你可见
97.jpg,Not-Misogyny,想不到吧 我还没下班
1053.jpg,Not-Misogyny,准备迎接夸奖
1339.jpg,Misogyny,我的父母： 你以后不生孩子 等你老了谁照顾你？ 妈妈别怕 我会治好你的 我： 妈妈吃饭
157.jpg,Not-Misogyny,谁周末还加班啊 原来是我
420.jpg,Not-Misogyny,敢来公司已经很厉害了
809.jpg,Misogyny,你不结婚，周围的亲戚都在说三道四 现在，就现在，咱们拉个群，我看看有谁！
478.jpg,Not-Misogyny,前途一片牛马
989.jpg,Not-Misogyny,经常消毒，坏运消除 坏运good bye
1269.jpg,Not-Misogyny,不会消息是吧 你现在是光鲜了 留我和孩子在乡下放牛
817.jpg,Not-Misogyny,星期日 让我看看你的真面目！ 星期五 我就知道！
1109.jpg,Misogyny,想买一本《情绪控制》 送给我老婆 110吗？这里有一个神经病 嫁的是人是狗，看送的礼物就知道了 — —《中国妈妈带娃图鉴》
448.jpg,Not-Misogyny,告诉考试 我不认输
1193.jpg,Misogyny,再生一个，凑成好字 万一又生一个儿子怎么办！
179.jpg,Misogyny,妈的累死爹了休息一下
391.jpg,Misogyny,坦克 肥婆 别吃了 丑 肥猪 水桶腰 好肥 怎么还吃 粗 大象腿
579.jpg,Misogyny,不是靓仔不要和我搭话 我操你妈逼啊
745.jpg,Not-Misogyny,学术论文
1456.jpg,Not-Misogyny,连屎都拉不出来 我现在一个 擅长的技能都没有了.....
811.jpg,Not-Misogyny,社恐内向 受不了肚子里有个陌生人
1402.jpg,Not-Misogyny,很爱上班这种感觉 饿不死又挣不到钱 令人着迷
1651.jpg,Not-Misogyny,需要说sorry 吗？
766.jpg,Misogyny,你结婚了，我们才能安心 安的啥心
1186.jpg,Not-Misogyny,这是国宴微臣不敢吃
942.jpg,Not-Misogyny,高高兴兴上学
143.jpg,Misogyny,什么时候结婚 死之前
1553.jpg,Not-Misogyny,我鬼混回来了
1005.jpg,Not-Misogyny,新年新气象
949.jpg,Not-Misogyny,再不摸鱼就该下班了
637.jpg,Not-Misogyny,offer+ 1 offer+ 1 offer+ 1 offer+ 1 offer+ 1 offer+ 1 of fer+ 1 offer+ 1 offer+ 1 offer+ 1 offer+ 1 Offer+ 1 offer+ 1 offer+ 1 吸引 offer
1475.jpg,Not-Misogyny,哎嘿...嘿嘿嘿 我上辈子一定是大好人 这辈子才能遇见这么美丽超级好的老婆
616.jpg,Not-Misogyny,当我情绪稳定的时候 我已经疯了
295.jpg,Not-Misogyny,真实的留子现况 穿搭我说把这个领子翻出来 精神状态 社交 出来没什么劲 外语水平 水 是杯子还是水
1326.jpg,Not-Misogyny,好油像你一样
1613.jpg,Not-Misogyny,老師，我可不可以..
89.jpg,Not-Misogyny,你最近还好吗？
42.jpg,Not-Misogyny,人生乱套我睡觉
1641.jpg,Not-Misogyny,听到了么 是流水线开工的声音
132.jpg,Not-Misogyny,这么巧？ 你也错峰睡觉啊
1395.jpg,Not-Misogyny,如果9点上班的意思是我9点就必须要公司 那不6点下班的意思不是 我6点就应该在家吗？
1157.jpg,Not-Misogyny,报一丝哈
1466.jpg,Misogyny,没人要的老女人
1573.jpg,Not-Misogyny,男的来了
906.jpg,Not-Misogyny,老婆不再 我也要乖乖睡觉 要想老婆！
165.jpg,Not-Misogyny,人生要走万里路 迈好强身第一步
291.jpg,Not-Misogyny,你觉得合适吗？
1607.jpg,Not-Misogyny,如果你有一个儿子 你得好好锻炼他
1097.jpg,Not-Misogyny,干了各位 祝福都在这里了
349.jpg,Misogyny,我妈：年纪大了，想抱孙子 我：让你做月嫂你又不肯
572.jpg,Not-Misogyny,成功女人第三步 嘴甜心狠
844.jpg,Misogyny,早插秧早收谷 早生孩子早享福
1600.jpg,Misogyny,人不聪明 个不高 胸又小 屁事还不少
875.jpg,Not-Misogyny,假期结束了 我的人生也完了 不上班带来经济问题 上班带来精神问题
1357.jpg,Not-Misogyny,看看我自己啦，漂亮能干
1121.jpg,Not-Misogyny,认真 本人求职
758.jpg,Not-Misogyny,陛下所言极是
459.jpg,Misogyny,我操你妈啊 吃爸爸一拳
376.jpg,Not-Misogyny,睁开眼睛
334.jpg,Not-Misogyny,奴才先行告退
967.jpg,Not-Misogyny,你瞅瞅多牛逼啊
1581.jpg,Not-Misogyny,别逼我打你 你的脑子呢？
1690.jpg,Not-Misogyny,世界再见
924.jpg,Misogyny,爸爸赚钱 妈妈赚钱 带娃 做饭 做家务 防小三 人情世故 陪娃睡觉 给娃洗澡 辅导作业 接娃上下学 老师随叫随到 参加学校活动 陪娃玩 陪娃看病 菜买零食 半夜给孩子 半夜喂孩子喝水 心理疏导 自我消化 管理好自己的情绪 观察孩子的身体变化
1538.jpg,Not-Misogyny,老師您放心 我一定會搞砸
1575.jpg,Misogyny,儿子10万 女儿5万
1143.jpg,Misogyny,被贴上“理所当然”的标签 我们该如何反抗 女孩子比较会安慰人，帮忙劝劝吧 你负责照顾孩子，这对妈妈来说不就是本分吗？ 年纪不小了，女生早点结婚才合适 你是女生，稍微打扮一下是应该的 你们女生心思细腻，这种沟通你去谈更好 女生还是适合比较稳定的工作，别太拼 女生要学会包容 看见不平等
329.jpg,Not-Misogyny,新年快乐 柿柿如意 2025
782.jpg,Not-Misogyny,早上：不吃 中午：不吃 晚上： 货拉拉正在为您送餐
319.jpg,Not-Misogyny,调休：中国人自己的时光机 什...什么? 昨天星期一 今天还是星期一
1304.jpg,Misogyny,cnm~biubiubiu~QAQ
1471.jpg,Not-Misogyny,人是没有必要非得吃三餐的 即使是被人掐住了咽喉！！ 我也要说
1477.jpg,Not-Misogyny,没关系 还在呼吸 已经很厉害了
168.jpg,Not-Misogyny,好饭！
13.jpg,Not-Misogyny,不要跟我讲道理 给钱就行了 你说啥都对
172.jpg,Not-Misogyny,跟表格干吧 至少能忘掉一切
650.jpg,Not-Misogyny,我是黑马
261.jpg,Not-Misogyny,移腚ok! 一定成功 啃腚能行！肯定能行 指腚成功！指定成功 一口咬腚 一口咬定你最棒
1542.jpg,Not-Misogyny,宝宝你好香身上有一股 上6休3上3休2上5休1上2休7 再上5休1 的班味 咪咪TV
1198.jpg,Not-Misogyny,我不是拖延症 我之所以等到最后一分钟才去做事 是因为那时候的我更老了 做事也会更成熟一些 无辜
673.jpg,Not-Misogyny,这是我一生中最勇敢的瞬间 远在世界尽头的你站在我面前
259.jpg,Not-Misogyny,女男平等
1019.jpg,Misogyny,nmb wcnm 能明白 我宠你吗？
139.jpg,Not-Misogyny,结果出来了，你脑子里全是放假 放假 嘿嘿....
550.jpg,Not-Misogyny,我没心情工作
778.jpg,Not-Misogyny,真娘们儿
1366.jpg,Not-Misogyny,已经懒得解释了 你说夜里有太阳 我说注意防晒
1059.jpg,Not-Misogyny,请给微臣一个明示
1279.jpg,Not-Misogyny,除了该睡的 时候不睡 其他时候 都想睡
559.jpg,Not-Misogyny,双手握住 简单的快乐
140.jpg,Not-Misogyny,勤力有用的话，乡下的牛早就发财了
1629.jpg,Not-Misogyny,蛇·年·灵·蛇·送·祝·福· 万事如意
532.jpg,Not-Misogyny,每个渺小的理由 都困住自由
225.jpg,Not-Misogyny,没有那种世俗的欲望
724.jpg,Not-Misogyny,下班了！！！！！
744.jpg,Misogyny,职场歧视 表现： “本岗位仅招男性” “当领导的大部分是男性” “女生就是容易有工作情绪” “你什么时候有生孩子的打算”
410.jpg,Not-Misogyny,前途一片归西
326.jpg,Not-Misogyny,忙且发疯 今日精神状态
874.jpg,Misogyny,我的父母：你以后不生孩子 等你老了谁照顾你？ 我：
300.jpg,Not-Misogyny,还是那句话：我真的很不错 礼貌太太 今天
1079.jpg,Misogyny,cnm cnm cnm cnm cnm cnm cnm cnm 看我不骂死你！
938.jpg,Misogyny,女人都是骗子
1141.jpg,Not-Misogyny,保佑我水到毕业
1576.jpg,Not-Misogyny,请雇我工作
715.jpg,Not-Misogyny,金箍棒，我们走
194.jpg,Not-Misogyny,命只有一条 要命的事不只一件
441.jpg,Misogyny,他们说：你要 顾家 白幼瘦 为家庭付出 勤劳朴素 留长发 温柔体贴 穿裙子 体制内 早结婚早生娃 为了孩子忍一忍 有女孩子的样子 保持身材 稳定下来 传宗接代 会撒娇 不打麻药为孩子好
574.jpg,Misogyny,结婚那么容易 离婚却又冷静期
504.jpg,Misogyny,让你怀孕洗个碗怎么了？ 谁怀孕不长纹的，就你金贵还涂个油
606.jpg,Not-Misogyny,看着我的刀再说一遍
974.jpg,Not-Misogyny,真是脏东西
1518.jpg,Misogyny,什么时候生娃？
4.jpg,Misogyny,当男朋友说 你只能属于我 你敢跟我分手 我就打断你的腿
1482.jpg,Not-Misogyny,小时候觉得30岁很老 到了30岁才醒悟：
1048.jpg,Misogyny,不结婚，不生孩子 永远不知道什么叫可怜天下父母心 不当父母我省心
468.jpg,Not-Misogyny,女人当然擅长数学
322.jpg,Misogyny,cnm听清没？ 我说cnm!!
6.jpg,Misogyny,女人的照片你也信
223.jpg,Not-Misogyny,从今天起我要用圣人的标准要求别人 用贱人的标准来要求自己
548.jpg,Not-Misogyny,请不要说： 上厕所 请说： 我去所里交点材料
1630.jpg,Not-Misogyny,光顾着上班 忘记上吊了
40.jpg,Not-Misogyny,还有哪个管得到老子？还有哪个管得到老子？
543.jpg,Not-Misogyny,咖啡醒脑的正确用法be like
243.jpg,Not-Misogyny,我要的是钱 OK
137.jpg,Not-Misogyny,震撼 美味！
1492.jpg,Not-Misogyny,熬夜惯犯
1341.jpg,Misogyny,cao ni ma 操你妈
964.jpg,Not-Misogyny,深度学习
988.jpg,Not-Misogyny,干饭
1666.jpg,Misogyny,你都30了 怎么还不结婚啊？
1207.jpg,Not-Misogyny,好心酸 是领一份薪资干八份活 “我...我很好啊” 却骗自己 我能力超群的心酸
969.jpg,Not-Misogyny,仕事始 我司雇我在
1549.jpg,Not-Misogyny,大吉大利 大吉大利
582.jpg,Not-Misogyny,呵女人
1661.jpg,Misogyny,以前屁股大的女生 身材焦虑 被嘲笑 自卑 被长辈说 这样的好生娃
1673.jpg,Not-Misogyny,我有密集恐惧症 不能接近心眼子太多的人
662.jpg,Not-Misogyny,"牛马 底薪3000, 我能接受 工人 一个月一万二那可不够"
1006.jpg,Not-Misogyny,请把牛马 还给大自然
1574.jpg,Misogyny,你现在不结婚 老了怎么办？活不下去就会死 死不就有活路
377.jpg,Not-Misogyny,我不想复习 不你想
1511.jpg,Not-Misogyny,你不去当厨子可惜了 甩锅这么厉害
315.jpg,Not-Misogyny,姐姐就算太忙也要注意身体 不然我会心疼的
443.jpg,Not-Misogyny,很喜欢周一 有种锒铛入狱的感觉
1114.jpg,Misogyny,探你妈 给老子死
320.jpg,Not-Misogyny,人 呢 在吗 你的宝宝回来了
282.jpg,Misogyny,是女孩，打掉！
845.jpg,Not-Misogyny,不吃野味，好运翻倍
1014.jpg,Not-Misogyny,吉时已到“下班”
1331.jpg,Not-Misogyny,人家要嘛~
425.jpg,Misogyny,为什么不生孩子？ 我社恐 接受不了肚子里有个陌生人 生不了
554.jpg,Not-Misogyny,含沙射影式 怼人却不自知的文案
595.jpg,Not-Misogyny,我钱呢。。鼠鼠我啊...我钱呢
1667.jpg,Misogyny,结了婚你的罪名就多了 不生娃 生的娃不是男娃
369.jpg,Misogyny,我的父母： 你不生孩子，老了谁照顾你？ 我：不用供孩子上学给婚买买车省的钱
1183.jpg,Not-Misogyny,哈哈
1176.jpg,Misogyny,已生儿子 一接一个准 #接儿子
983.jpg,Not-Misogyny,白月川川
1376.jpg,Not-Misogyny,躺平是我人生中最伟大的壮举
893.jpg,Not-Misogyny,这是成长 这也是成长
228.jpg,Not-Misogyny,我能说脏话吗？ 不能吗？ 那我没什么好说的了
905.jpg,Not-Misogyny,论眼光还是您短浅哈
1346.jpg,Not-Misogyny,多大点事啊
1260.jpg,Not-Misogyny,我真厉害
1156.jpg,Not-Misogyny,在公司我有三不做
67.jpg,Misogyny,以前的女生 言听计从 容易被cpu
394.jpg,Not-Misogyny,当事人 当时就是想吃，非常想吃
580.jpg,Not-Misogyny,我司雇我在
25.jpg,Not-Misogyny,好棒！ 拒绝加班
212.jpg,Misogyny,你不结婚我都睡不着 那就醒着 还能熬成国宝
1310.jpg,Not-Misogyny,上桌吃饭
998.jpg,Misogyny,出去上班说你不带娃 在家带娃说你不上班挣钱
537.jpg,Not-Misogyny,过年好
1118.jpg,Not-Misogyny,超级珍视自己的感受 勇敢离开让自己感到内耗的人和事
1104.jpg,Not-Misogyny,做不了找别人吧
86.jpg,Not-Misogyny,谢谢老板 实在吃不下了
1531.jpg,Not-Misogyny,早上好！让我看看是谁还没起床！
273.jpg,Misogyny,你不结婚我晚上都睡不着觉 那我就给您找个夜班上上
1235.jpg,Misogyny,你明白 我宠你嘛 NMB WCNM
1001.jpg,Misogyny,隔壁都二胎了
837.jpg,Misogyny,你什么你 你妈了个逼
1533.jpg,Misogyny,不生孩子你以后会后悔的 我后悔了可以领养 你后悔了可以塞回去吗
631.jpg,Not-Misogyny,给您拜年啦！
1643.jpg,Not-Misogyny,走一步算一步 STOP 实在不行死半路
1587.jpg,Not-Misogyny,贪吃蛇
1166.jpg,Not-Misogyny,如果鲁宾逊漂流到中国他就有两个星期五了
945.jpg,Not-Misogyny,大不了去死
506.jpg,Not-Misogyny,福
274.jpg,Misogyny,家里有孩子才热闹 咱俩现在吵一架不就热闹了
918.jpg,Misogyny,CNM 你个SB NMB 素质三连
1122.jpg,Not-Misogyny,你的小花招 成功引起了我的注意
363.jpg,Not-Misogyny,今天未读洋鬼子文献 请祖国放心
1374.jpg,Misogyny,科二都能挂了，怕生个孩子也能挂了 挂科的微笑 我混油皮，不适合生孩子
623.jpg,Not-Misogyny,好棒！ 准时上班
3.jpg,Misogyny,怎么还不生孩子？ 你还没投胎
7.jpg,Misogyny,只因为我是姐姐 我就要学会“牺牲” 但其实我也想有自己的人生 我今天很忙，没空辅导弟弟了 连弟弟都不肯帮，你可真冷血
312.jpg,Misogyny,滚你妈逼
1252.jpg,Not-Misogyny,有事直说 反正我也帮不了你
839.jpg,Not-Misogyny,些微有点晕字
666.jpg,Not-Misogyny,很内向 在工位都不敢学习
365.jpg,Not-Misogyny,这是蟠桃 这是黄桃 这是丫头你别想桃
1676.jpg,Misogyny,我去你妈逼
216.jpg,Not-Misogyny,过年好 过年好
868.jpg,Not-Misogyny,请雇我打工
28.jpg,Not-Misogyny,把不学习的都抓起来！——上岸村委会宣
1221.jpg,Not-Misogyny,蛇来运转
526.jpg,Not-Misogyny,等老娘练好就去干你
1556.jpg,Not-Misogyny,无所谓 晚上我会啃床
858.jpg,Not-Misogyny,一无所有不好吗
639.jpg,Misogyny,"操你媽逼（-30%） 操你妈逼 購買操你媽逼（-30%）组合包 -30%-55% 加入購物車 NTS1,513"
1051.jpg,Misogyny,爸妈又来催婚了 但我已经不烦了
719.jpg,Not-Misogyny,工作do了吗？ 你啰嗦了
692.jpg,Not-Misogyny,这我学过？
1335.jpg,Not-Misogyny,我有密集恐惧症 不能接近心眼子太多的人
625.jpg,Not-Misogyny,小狗给你力量 得到小狗力量的人都会 考试顺利 一飞冲天
8.jpg,Not-Misogyny,坚持住 忙完这阵子 就可以忙下一阵子了
257.jpg,Not-Misogyny,我有力量度过任何难关
804.jpg,Misogyny,头发长见识短，当初怎么就让你进门了呢 我见识短，您眼光高，这不才让我有机会进门么
26.jpg,Misogyny,为什么不生孩子？ 我有案底 峡谷里杀过太多人 生不了
337.jpg,Not-Misogyny,真油你的
573.jpg,Not-Misogyny,咩事?
48.jpg,Not-Misogyny,周五周五 眉飞色舞
1413.jpg,Misogyny,不生二胎 不旺夫 不伺候老公 不孝敬公婆
107.jpg,Misogyny,如果我晚婚有罪 请让法律制裁我 别当着我的面说我眼光高 背后又说我嫁不出去
350.jpg,Not-Misogyny,精神涣散
56.jpg,Not-Misogyny,成功女人第二步 只谈钱不谈感情
239.jpg,Misogyny,你参加婚礼看着别人结婚没啥想法啊？ 有啊，什么时候上菜
214.jpg,Not-Misogyny,你不行 谁行？
121.jpg,Not-Misogyny,我真厉害
1572.jpg,Misogyny,朋友：我都生了 你赶紧生 我： 我宫寒生不了呢
1318.jpg,Not-Misogyny,谢谢你 一路陪我到这里
794.jpg,Not-Misogyny,说我不合群 你没有迎合他不随大流
73.jpg,Not-Misogyny,按下骂人开关
813.jpg,Not-Misogyny,摇钱树怎么种 shake money tree
1469.jpg,Not-Misogyny,天天打工天天愁 天天加班像只猴
1608.jpg,Not-Misogyny,鼠了
915.jpg,Not-Misogyny,好笑吗
46.jpg,Not-Misogyny,老板说团建都有一劫 神仙公司团建：仪式感 牛马公司团建：无感 ...这对吗？可为什么人家公司 团建是音乐节
1426.jpg,Not-Misogyny,你超蒂
524.jpg,Not-Misogyny,两手空空心事重重
233.jpg,Misogyny,宫寒，还在在里面会冻坏 拿捏 不是不生，是调生，调到下辈子生
1579.jpg,Not-Misogyny,生死难料 先睡一觉
1248.jpg,Not-Misogyny,别跟我说话 我有洁癖
1284.jpg,Misogyny,CNM比心情
1424.jpg,Misogyny,你明白，我宠你嘛 NMB WCNM
534.jpg,Not-Misogyny,怎么肥柿
1138.jpg,Not-Misogyny,我是色盲 看不懂别人脸色
1285.jpg,Not-Misogyny,我这生活清汤寡水的 嘴巴毒一点怎么了
604.jpg,Misogyny,没人要的老女人
466.jpg,Misogyny,孩子带的好功劳不是你的 把孩子带好是你应该的
1275.jpg,Not-Misogyny,对我有欲望也是人之常情
789.jpg,Not-Misogyny,我的精神状态 finalweek 我
